"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",-0.0684772499999852,0.0215412828471088,168.864872337422,-3.17888449290642,0.0286250002223184,-0.132761097648728,-0.00419340235124194
"SRN - LSTM","train","noent",-0.0248569999999741,0.0215412828471088,168.864872337171,-1.15392384828698,0.910045396530486,-0.0891408476486945,0.0394268476487464
"SRN - Attn_AbsPE","train","noent",-0.0512815666666637,0.0215412828471088,168.864872333188,-2.38061804538937,0.213329848197679,-0.115565414315405,0.0130022809820773
"SRN - Attn_RoPE","train","noent",-0.0153561249999827,0.0215412828471088,168.86487233632,-0.712869568120624,0.991674569642428,-0.0796399726487158,0.0489277226487505
"SRN - Attn_AbsPE_H80","train","noent",-0.00548629166664887,0.0215412828471088,168.864872335977,-0.254687323201144,0.999976894338223,-0.0697701393153878,0.05879755598209
"SRN - Attn_RoPE_H80","train","noent",0.0158521333333438,0.0215412828471088,168.864872301627,0.735895510302506,0.990137472432551,-0.0484317143155473,0.0801359809822348
"GRU - LSTM","train","noent",0.0436202500000111,0.0215412828471088,168.864872338921,2.02496064461944,0.402916235396714,-0.0206635976487136,0.107904097648736
"GRU - Attn_AbsPE","train","noent",0.0171956833333215,0.0215412828471088,168.864872335627,0.798266447517047,0.984879467943657,-0.0470881643154152,0.0814795309820581
"GRU - Attn_RoPE","train","noent",0.0531211250000025,0.0215412828471088,168.86487233866,2.46601492478579,0.178559925024334,-0.0111627226487173,0.117404972648722
"GRU - Attn_AbsPE_H80","train","noent",0.0629909583333363,0.0215412828471088,168.86487233951,2.92419716970527,0.0588860170358606,-0.00129288931538966,0.127274805982062
"GRU - Attn_RoPE_H80","train","noent",0.0843293833333289,0.0215412828471088,168.864872305574,3.91478000320892,0.00246895762488974,0.0200455356844368,0.148613230982221
"LSTM - Attn_AbsPE","train","noent",-0.0264245666666897,0.0215412828471088,168.86487233616,-1.22669419710239,0.882878742022428,-0.0907084143154319,0.0378592809820526
"LSTM - Attn_RoPE","train","noent",0.0095008749999914,0.0215412828471088,168.864872340031,0.441054280166354,0.999427839776478,-0.0547829726487367,0.0737847226487195
"LSTM - Attn_AbsPE_H80","train","noent",0.0193707083333252,0.0215412828471088,168.864872340441,0.899236525085833,0.972259555652714,-0.044913139315394,0.0836545559820443
"LSTM - Attn_RoPE_H80","train","noent",0.0407091333333178,0.0215412828471088,168.864872306427,1.88981935858948,0.489920107377596,-0.0235747143155564,0.104992980982192
"Attn_AbsPE - Attn_RoPE","train","noent",0.0359254416666811,0.0215412828471088,168.864872335814,1.66774847726875,0.63840860853934,-0.0283584059820532,0.100209289315415
"Attn_AbsPE - Attn_AbsPE_H80","train","noent",0.0457952750000149,0.0215412828471088,168.86487233573,2.12593072218823,0.342355011087241,-0.0184885726487207,0.11007912264875
"Attn_AbsPE - Attn_RoPE_H80","train","noent",0.0671337000000075,0.0215412828471088,168.864872300913,3.11651355569187,0.0343780709115976,0.00284985235110925,0.131417547648906
"Attn_RoPE - Attn_AbsPE_H80","train","noent",0.00986983333333379,0.0215412828471088,168.8648723389,0.458182244919479,0.999288111574437,-0.0544140143153943,0.0741536809820619
"Attn_RoPE - Attn_RoPE_H80","train","noent",0.0312082583333264,0.0215412828471088,168.864872304372,1.44876507842313,0.774328937380387,-0.0330755893155523,0.0954921059822051
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","noent",0.0213384249999926,0.0215412828471088,168.864872302515,0.99058283350365,0.955464059451354,-0.042945422648896,0.0856222726488812
"SRN - GRU","test","noent",-0.0684834749999853,0.0215412828471088,168.864872337422,-3.17917347291027,0.0286004480298967,-0.132767322648713,-0.00419962735125765
"SRN - LSTM","test","noent",-0.0248603833333075,0.0215412828471088,168.864872337171,-1.15408091104677,0.909991450399394,-0.0891442309820279,0.0394234643154129
"SRN - Attn_AbsPE","test","noent",-0.0512701916666636,0.0215412828471088,168.864872333188,-2.38008998955904,0.213558355631853,-0.115554039315431,0.0130136559821034
"SRN - Attn_RoPE","test","noent",-0.0154372833333162,0.0215412828471088,168.86487233632,-0.716637140085096,0.991436599241587,-0.0797211309820588,0.0488465643154264
"SRN - Attn_AbsPE_H80","test","noent",-0.00693068333331576,0.0215412828471088,168.864872335977,-0.321739581737397,0.999908462231078,-0.0712145309820466,0.0573531643154151
"SRN - Attn_RoPE_H80","test","noent",0.0078404333333437,0.0215412828471088,168.864872301627,0.363972442541694,0.999811770054549,-0.056443414315549,0.0721242809822364
"GRU - LSTM","test","noent",0.0436230916666778,0.0215412828471088,168.864872338921,2.0250925618635,0.402834258091842,-0.0206607559820497,0.107906939315405
"GRU - Attn_AbsPE","test","noent",0.0172132833333217,0.0215412828471088,168.864872335628,0.799083483351223,0.984798939147052,-0.0470705643154263,0.0814971309820696
"GRU - Attn_RoPE","test","noent",0.0530461916666691,0.0215412828471088,168.86487233866,2.46253633282517,0.179891877746178,-0.0112376559820507,0.117330039315389
"GRU - Attn_AbsPE_H80","test","noent",0.0615527916666695,0.0215412828471088,168.86487233951,2.85743389117287,0.0703005125965047,-0.00273105598205873,0.125836639315398
"GRU - Attn_RoPE_H80","test","noent",0.076323908333329,0.0215412828471088,168.864872305574,3.54314591545196,0.00907414051130995,0.0120400606844368,0.140607755982221
"LSTM - Attn_AbsPE","test","noent",-0.0264098083333561,0.0215412828471088,168.86487233616,-1.22600907851227,0.883154776881544,-0.090693655982099,0.0378740393153867
"LSTM - Attn_RoPE","test","noent",0.0094230999999913,0.0215412828471088,168.864872340031,0.437443770961674,0.999454239487371,-0.0548607476487298,0.0737069476487124
"LSTM - Attn_AbsPE_H80","test","noent",0.0179296999999917,0.0215412828471088,168.864872340441,0.832341329309372,0.981239520151318,-0.0463541476487204,0.0822135476487039
"LSTM - Attn_RoPE_H80","test","noent",0.0327008166666512,0.0215412828471088,168.864872306427,1.51805335358846,0.733667574300223,-0.0315830309822239,0.0969846643155262
"Attn_AbsPE - Attn_RoPE","test","noent",0.0358329083333474,0.0215412828471088,168.864872335814,1.66345284947395,0.641242131412586,-0.0284509393153962,0.100116755982091
"Attn_AbsPE - Attn_AbsPE_H80","test","noent",0.0443395083333478,0.0215412828471088,168.86487233573,2.05835040782165,0.382391364328714,-0.0199443393153964,0.108623355982092
"Attn_AbsPE - Attn_RoPE_H80","test","noent",0.0591106250000073,0.0215412828471088,168.864872300913,2.74406243210074,0.0938618584111605,-0.00517322264889093,0.123394472648906
"Attn_RoPE - Attn_AbsPE_H80","test","noent",0.00850660000000043,0.0215412828471088,168.8648723389,0.394897558347699,0.999697673957793,-0.0557772476487213,0.0727904476487222
"Attn_RoPE - Attn_RoPE_H80","test","noent",0.0232777166666599,0.0215412828471088,168.864872304372,1.08060958262679,0.933032285893063,-0.0410061309822123,0.0875615643155321
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","noent",0.0147711166666595,0.0215412828471088,168.864872302515,0.685712024279091,0.993242842256525,-0.0495127309822227,0.0790549643155416
"SRN - GRU","train","ent",0.0117630583333381,0.0215412828471088,168.864872358037,0.546070464643517,0.998073985886774,-0.052520789315301,0.0760469059819772
"SRN - LSTM","train","ent",0.0206736500000152,0.0215412828471088,168.864872357785,0.959722322330953,0.961772107282718,-0.043610197648627,0.0849574976486573
"SRN - Attn_AbsPE","train","ent",0.00248994999998058,0.0215412828471088,168.864872353803,0.115589680412872,0.999999791054069,-0.0617938976486797,0.0667737976486409
"SRN - Attn_RoPE","train","ent",0.0279228583333375,0.0215412828471088,168.864872356935,1.2962486278799,0.85288263565637,-0.0363609893153014,0.0922067059819764
"SRN - Attn_AbsPE_H80","train","ent",0.0313931166666539,0.0215412828471088,168.864872356592,1.45734666266023,0.769442128670318,-0.0328907309819895,0.0956769643152974
"SRN - Attn_RoPE_H80","train","ent",0.0232066583333355,0.0215412828471088,168.864872316928,1.07731087781758,0.933964805412534,-0.0410771893154874,0.0874905059821584
"GRU - LSTM","train","ent",0.00891059166667706,0.0215412828471088,168.864872359535,0.413651857687437,0.99960458746684,-0.0553732559819529,0.073194439315307
"GRU - Attn_AbsPE","train","ent",-0.00927310833335753,0.0215412828471088,168.864872356242,-0.430480784230645,0.999502362661431,-0.0735569559819995,0.0550107393152844
"GRU - Attn_RoPE","train","ent",0.0161597999999994,0.0215412828471088,168.864872359275,0.75017816323638,0.98908051905551,-0.0481240476486327,0.0804436476486315
"GRU - Attn_AbsPE_H80","train","ent",0.0196300583333158,0.0215412828471088,168.864872360124,0.911276198016709,0.970361079287935,-0.0446537893153062,0.0839139059819378
"GRU - Attn_RoPE_H80","train","ent",0.0114435999999974,0.0215412828471088,168.864872320874,0.531240413174061,0.998350208037976,-0.0528402476488073,0.0757274476488021
"LSTM - Attn_AbsPE","train","ent",-0.0181837000000346,0.0215412828471088,168.864872356775,-0.844132641918082,0.979839936035602,-0.0824675476486721,0.0461001476486029
"LSTM - Attn_RoPE","train","ent",0.00724920833332234,0.0215412828471088,168.864872360646,0.336526305548943,0.999880904015043,-0.0570346393152946,0.0715330559819393
"LSTM - Attn_AbsPE_H80","train","ent",0.0107194666666388,0.0215412828471088,168.864872361056,0.497624340329272,0.998860048737924,-0.0535643809819781,0.0750033143152557
"LSTM - Attn_RoPE_H80","train","ent",0.00253300833332034,0.0215412828471088,168.864872321727,0.117588555486625,0.999999768487064,-0.0617508393154738,0.0668168559821145
"Attn_AbsPE - Attn_RoPE","train","ent",0.0254329083333569,0.0215412828471088,168.864872356428,1.18065894746703,0.900570641480936,-0.0388509393152807,0.0897167559819946
"Attn_AbsPE - Attn_AbsPE_H80","train","ent",0.0289031666666734,0.0215412828471088,168.864872356345,1.34175698224735,0.831198997037486,-0.0353806809819665,0.0931870143153132
"Attn_AbsPE - Attn_RoPE_H80","train","ent",0.0207167083333549,0.0215412828471088,168.864872316213,0.961721197404706,0.961383795160055,-0.0435671393154879,0.0850005559821977
"Attn_RoPE - Attn_AbsPE_H80","train","ent",0.00347025833331643,0.0215412828471088,168.864872359515,0.161098034780329,0.999998481460037,-0.0608135893153078,0.0677541059819407
"Attn_RoPE - Attn_RoPE_H80","train","ent",-0.004716200000002,0.0215412828471088,168.864872319672,-0.218937750062318,0.999990570861621,-0.0690000476488278,0.0595676476488238
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","ent",-0.00818645833331843,0.0215412828471088,168.864872317815,-0.380035784842646,0.99975800487909,-0.0724703059821348,0.056097389315498
"SRN - GRU","test","ent",0.0117636333333383,0.0215412828471088,168.864872358037,0.546097157575609,0.998073457461218,-0.0525202143153109,0.0760474809819875
"SRN - LSTM","test","ent",0.0206907500000152,0.0215412828471088,168.864872357785,0.960516146919833,0.961618225601541,-0.0435930976486114,0.0849745976486418
"SRN - Attn_AbsPE","test","ent",0.00249018333331397,0.0215412828471088,168.864872353803,0.115600512327343,0.999999790936907,-0.0617936643153395,0.0667740309819674
"SRN - Attn_RoPE","test","ent",0.0279857500000043,0.0215412828471088,168.864872356935,1.29916821568315,0.851539380121222,-0.036298097648635,0.0922695976486437
"SRN - Attn_AbsPE_H80","test","ent",0.0282488583333209,0.0215412828471088,168.864872356592,1.31138235980743,0.845847962408825,-0.0360349893153145,0.0925327059819563
"SRN - Attn_RoPE_H80","test","ent",0.0230557333333357,0.0215412828471088,168.864872316928,1.07030456342716,0.935916858667627,-0.0412281143154966,0.0873395809821679
"GRU - LSTM","test","ent",0.00892711666667691,0.0215412828471088,168.864872359535,0.414418989344225,0.999600333975078,-0.0553567309819472,0.073210964315301
"GRU - Attn_AbsPE","test","ent",-0.00927345000002434,0.0215412828471088,168.864872356242,-0.430496645248266,0.999502257098731,-0.0735572976486686,0.0550103976486199
"GRU - Attn_RoPE","test","ent",0.016222116666666,0.0215412828471088,168.864872359275,0.75307105810754,0.988856321682505,-0.0480617309819661,0.0805059643152981
"GRU - Attn_AbsPE_H80","test","ent",0.0164852249999826,0.0215412828471088,168.864872360124,0.765285202231823,0.987870900544445,-0.0477986226486333,0.0807690726485984
"GRU - Attn_RoPE_H80","test","ent",0.0112920999999973,0.0215412828471088,168.864872320874,0.524207405851548,0.998469613135155,-0.0529917476488003,0.075575947648795
"LSTM - Attn_AbsPE","test","ent",-0.0182005666667012,0.0215412828471088,168.864872356775,-0.844915634592491,0.979744342203424,-0.0824844143153484,0.0460832809819459
"LSTM - Attn_RoPE","test","ent",0.0072949999999891,0.0215412828471088,168.864872360646,0.338652068763315,0.999876435379528,-0.056988847648629,0.0715788476486072
"LSTM - Attn_AbsPE_H80","test","ent",0.00755810833330565,0.0215412828471088,168.864872361056,0.350866212887599,0.999848012208558,-0.0567257393153119,0.0718419559819232
"LSTM - Attn_RoPE_H80","test","ent",0.00236498333332044,0.0215412828471088,168.864872321727,0.109788416507323,0.999999846454784,-0.0619188643154737,0.0666488309821146
"Attn_AbsPE - Attn_RoPE","test","ent",0.0254955666666903,0.0215412828471088,168.864872356428,1.18356770335581,0.899504321807854,-0.0387882809819483,0.089779414315329
"Attn_AbsPE - Attn_AbsPE_H80","test","ent",0.0257586750000069,0.0215412828471088,168.864872356345,1.19578184748009,0.894950740546754,-0.0385251726486346,0.0900425226486483
"Attn_AbsPE - Attn_RoPE_H80","test","ent",0.0205655500000217,0.0215412828471088,168.864872316213,0.954704051099813,0.96273483978514,-0.0437182976488052,0.0848493976488486
"Attn_RoPE - Attn_AbsPE_H80","test","ent",0.000263108333316549,0.0215412828471088,168.864872359515,0.0122141441242838,1,-0.0640207393153098,0.0645469559819429
"Attn_RoPE - Attn_RoPE_H80","test","ent",-0.00493001666666866,0.0215412828471088,168.864872319672,-0.228863652255991,0.999987733263728,-0.0692138643154945,0.0593538309821572
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","ent",-0.00519312499998521,0.0215412828471088,168.864872317815,-0.241077796380275,0.999983306052869,-0.0694769726488034,0.059090722648833
